VAR, VAR
n, identificador
,, simbolo_virgula
fat, identificador
;, simbolo_ponto_virgula
BGIN, identificador
n, identificador
:=, simbolo_atribuicao
4, numero
;, simbolo_ponto_virgula
f, identificador
@, <erro_lexico>
t, identificador
:=, simbolo_atribuicao
1, numero
;, simbolo_ponto_virgula
WHILE, WHILE
n, identificador
=, simbolo_igualdade
>, simbolo_maior
1, numero
fat, identificador
:=, simbolo_atribuicao
fat, identificador
*, simbolo_multiplicacao
n, identificador
;, simbolo_ponto_virgula
n, identificador
:=, simbolo_atribuicao
n, identificador
-, simbolo_menos
1, numero
;, simbolo_ponto_virgula
testando, identificador
comentario, identificador
nao, identificador
END, END
., simbolo_ponto
