{Novinha eu quero te ver (Daniel) Contente d+}, comentario
CONST, CONST
isaac, identificador
=, simbolo_igualdade
5, numero
;, simbolo_ponto_virgula
VAR, VAR
a, identificador
,, simbolo_virgula
b, identificador
,, simbolo_virgula
c, identificador
;, simbolo_ponto_virgula
BEGIN, BEGIN
a, identificador
:=, simbolo_atribuicao
2, numero
;, simbolo_ponto_virgula
b, identificador
:=, simbolo_atribuicao
3, numero
;, simbolo_ponto_virgula
c, identificador
:=, simbolo_atribuicao
@, <erro_lexico>
+, simbolo_mais
b, identificador
;, simbolo_ponto_virgula
WHILE, WHILE
a, identificador
>, simbolo_maior
<, simbolo_menor
isaac, identificador
DO, DO
b, identificador
:=, simbolo_atribuicao
5, numero
*, simbolo_multiplicacao
(, simbolo_abre_parentese
a, identificador
+, simbolo_mais
c, identificador
-, simbolo_menos
b, identificador
), simbolo_fecha_parentese
;, simbolo_ponto_virgula
END, END
., simbolo_ponto
